-1.227450650185346603e-02,-4.807628225535154343e-03,3.328155875205993652e-01,-3.769056499004364014e-02,-2.808572910726070404e-02,1.484201252460479736e-01,9.878066778182983398e-01,1.419491022825241089e-01,-1.220482960343360901e-01,7.195544886925281380e-18,4.379662498831748962e-02,-5.073854923248291016e-01,6.221061348915100098e-01,8.616245537996292114e-02,1.844045966863632202e-01,-1.591976135969161987e-01,-1.689496338367462158e-01,2.386637479066848755e-01,-4.920673966407775879e-01,8.621407300233840942e-02,2.337754368782043457e-01,-8.199165016412734985e-02,3.315422534942626953e-01,-1.059147268533706665e-01,-1.800000071525573730e-01,5.132335051894187927e-02,2.177561521530151367e-01,3.799816370010375977e-01
-7.366818608716130257e-04,-1.566618797369301319e-03,3.307611048221588135e-01,-2.911049127578735352e-02,-1.701056398451328278e-02,1.461220681667327881e-01,9.886918663978576660e-01,1.262323260307312012e-01,-9.969116002321243286e-02,2.989092718053143471e-05,-5.870247259736061096e-03,-4.970683157444000244e-01,4.521491527557373047e-01,7.301948964595794678e-02,1.581699699163436890e-01,-2.040304392576217651e-01,-1.845364421606063843e-01,2.446785569190979004e-01,-4.730450510978698730e-01,9.558542072772979736e-02,1.721602380275726318e-01,-6.523098796606063843e-02,3.601733744144439697e-01,-1.185675635933876038e-01,-1.800000071525573730e-01,2.252910584211349487e-01,2.204180806875228882e-01,8.599822521209716797e-01
1.103802863508462906e-02,2.762318821623921394e-03,3.265631198883056641e-01,-1.727377437055110931e-02,-6.922620814293622971e-03,1.466271132230758667e-01,9.890167713165283203e-01,1.020673662424087524e-01,-7.591652125120162964e-02,8.285945659736171365e-05,-3.102461434900760651e-02,-4.843876659870147705e-01,2.139896601438522339e-01,4.892661049962043762e-02,1.381298750638961792e-01,-2.738065719604492188e-01,-1.962773650884628296e-01,2.215756177902221680e-01,-4.599600136280059814e-01,9.619840234518051147e-02,1.223078593611717224e-01,-4.031177237629890442e-02,3.629496395587921143e-01,-9.009684622287750244e-02,-1.800000071525573730e-01,3.635397255420684814e-01,2.160508036613464355e-01,1.352211952209472656e+00
2.103359252214431763e-02,6.077529862523078918e-03,3.234288096427917480e-01,2.258487511426210403e-03,1.588150975294411182e-03,1.442268341779708862e-01,9.895408153533935547e-01,5.672052502632141113e-02,-5.162993445992469788e-02,3.012127999681979418e-04,-2.925657480955123901e-02,-4.698756933212280273e-01,2.863816218450665474e-03,5.541731137782335281e-03,1.079527512192726135e-01,-3.114587962627410889e-01,-1.900152713060379028e-01,2.115925401449203491e-01,-4.673350453376770020e-01,9.239396452903747559e-02,7.330484688282012939e-02,-2.734810858964920044e-02,3.420350253582000732e-01,-9.218119084835052490e-02,-1.800000071525573730e-01,4.674284160137176514e-01,2.099750339984893799e-01,1.489991664886474609e+00
2.454242669045925140e-02,9.423087351024150848e-03,3.207729160785675049e-01,3.220972791314125061e-02,1.265127863734960556e-02,1.385392397642135620e-01,9.897521734237670898e-01,-2.506305091083049774e-02,-6.148819625377655029e-02,1.731764711439609528e-02,1.832658192142844200e-03,-5.083425045013427734e-01,2.070256122743590927e-16,-5.771771073341369629e-02,5.939450487494468689e-02,-3.222159445285797119e-01,-1.649625897407531738e-01,2.191360145807266235e-01,-4.805171191692352295e-01,8.985228836536407471e-02,1.841166615486145020e-02,-2.930628880858421326e-02,3.242477476596832275e-01,-9.353727847337722778e-02,-1.717698127031326294e-01,6.486188769340515137e-01,2.124893516302108765e-01,1.457821130752563477e+00
2.513531222939491272e-02,1.523781754076480865e-02,3.211333155632019043e-01,5.132458359003067017e-02,1.148696057498455048e-02,1.205471158027648926e-01,9.913133978843688965e-01,-8.830831199884414673e-02,-7.602219283580780029e-02,6.434698402881622314e-02,3.284785151481628418e-02,-4.551295638084411621e-01,3.516722232432129003e-13,-9.294598549604415894e-02,3.760647773742675781e-02,-2.940804064273834229e-01,-1.407060325145721436e-01,2.358180135488510132e-01,-5.113041400909423828e-01,8.413428813219070435e-02,-1.544734742492437363e-02,-3.131540119647979736e-02,3.051030337810516357e-01,-1.012017652392387390e-01,-1.318429857492446899e-01,7.655087709426879883e-01,2.241879552602767944e-01,1.138013601303100586e+00
2.674351632595062256e-02,2.225930988788604736e-02,3.218159377574920654e-01,5.039069801568984985e-02,5.411076825112104416e-03,1.019035652279853821e-01,9.935024976730346680e-01,-1.153904944658279419e-01,-1.039812117815017700e-01,1.348411440849304199e-01,4.681322723627090454e-02,-4.180724620819091797e-01,1.423161447746679187e-04,-9.257826209068298340e-02,3.120446018874645233e-02,-2.672164142131805420e-01,-1.244409680366516113e-01,2.569370567798614502e-01,-5.416712760925292969e-01,9.731242805719375610e-02,-3.736269101500511169e-02,-2.303514257073402405e-02,2.831829786300659180e-01,-9.764734655618667603e-02,-7.366079837083816528e-02,8.180630207061767578e-01,2.345243543386459351e-01,8.180980682373046875e-01
3.025336936116218567e-02,3.012952953577041626e-02,3.226103484630584717e-01,3.118799813091754913e-02,3.291074652224779129e-03,7.911940664052963257e-02,9.963716864585876465e-01,-1.001682952046394348e-01,-1.618232727050781250e-01,2.485608160495758057e-01,3.001469746232032776e-02,-4.121114909648895264e-01,1.478055492043495178e-04,-5.994162335991859436e-02,2.243697270750999451e-02,-2.411569654941558838e-01,-1.207009926438331604e-01,2.629394233226776123e-01,-5.948039889335632324e-01,9.793674945831298828e-02,-5.405581369996070862e-02,-6.187872495502233505e-03,2.601720690727233887e-01,-6.215832382440567017e-02,4.226264078170061111e-03,8.854094743728637695e-01,2.372777760028839111e-01,8.353038430213928223e-01
3.318510577082633972e-02,3.880085423588752747e-02,3.225744962692260742e-01,5.404980387538671494e-03,-6.117561366409063339e-03,5.319977924227714539e-02,9.985505342483520508e-01,-6.145445257425308228e-02,-2.611405253410339355e-01,4.290425777435302734e-01,2.775452099740505219e-03,-3.898012936115264893e-01,2.383449900662526488e-04,-8.027410134673118591e-03,3.861726075410842896e-02,-2.458172142505645752e-01,-1.346247643232345581e-01,2.606180310249328613e-01,-6.003318428993225098e-01,9.272633492946624756e-02,-5.541906133294105530e-02,1.874179393053054810e-02,2.286137938499450684e-01,-1.734826341271400452e-02,6.627328693866729736e-02,8.981752395629882812e-01,2.352412045001983643e-01,8.310205340385437012e-01
3.568601608276367188e-02,4.882565513253211975e-02,3.209763765335083008e-01,-8.538068272173404694e-03,-2.259424887597560883e-02,1.751339808106422424e-02,9.995548129081726074e-01,-4.888527467846870422e-02,-4.080835580825805664e-01,6.722900867462158203e-01,-6.131749833002686501e-04,-3.515704274177551270e-01,3.680379595607519150e-04,1.544926781207323074e-02,7.141077518463134766e-02,-2.095668315887451172e-01,-1.453566700220108032e-01,2.693070173263549805e-01,-6.178052425384521484e-01,8.202805370092391968e-02,-5.038223043084144592e-02,4.837124422192573547e-02,1.922141760587692261e-01,3.791236132383346558e-02,1.386142224073410034e-01,8.051221370697021484e-01,2.320399880409240723e-01,8.165578842163085938e-01
