1.144682802259922028e-02,1.322471420280635357e-03,3.201941251754760742e-01,-7.083439081907272339e-02,1.823963411152362823e-02,1.762827485799789429e-01,9.816181659698486328e-01,-2.685233056545257568e-01,-1.871979087591171265e-01,-8.383992910385131836e-01,4.525111317634582520e-01,6.864914894104003906e-01,-1.416877388954162598e+00,-1.301511973142623901e-01,8.982418775558471680e-01,-1.149960875511169434e+00,2.014171928167343140e-01,1.014382362365722656e+00,-1.309409737586975098e+00
1.398252416402101517e-02,2.621358493342995644e-03,3.255861401557922363e-01,-7.828588038682937622e-02,3.198499232530593872e-02,1.813531517982482910e-01,9.797751307487487793e-01,-2.775764465332031250e-01,-2.147685140371322632e-01,-8.377615809440612793e-01,4.624280929565429688e-01,6.773357987403869629e-01,-1.451442241668701172e+00,-1.080745458602905273e-01,8.042795658111572266e-01,-1.032446503639221191e+00,2.145689576864242554e-01,9.006300568580627441e-01,-1.236076831817626953e+00
1.637426950037479401e-02,4.096603486686944962e-03,3.287552893161773682e-01,-8.017718791961669922e-02,4.124177992343902588e-02,1.847809851169586182e-01,9.786351323127746582e-01,-2.894001901149749756e-01,-2.295324653387069702e-01,-8.377600312232971191e-01,4.668247401714324951e-01,6.875308752059936523e-01,-1.503267645835876465e+00,-1.015206128358840942e-01,7.420874238014221191e-01,-9.455458521842956543e-01,2.184789925813674927e-01,8.208679556846618652e-01,-1.194988131523132324e+00
1.876759342849254608e-02,5.539285484701395035e-03,3.307678699493408203e-01,-7.899460196495056152e-02,4.715966433286666870e-02,1.871351003646850586e-01,9.780164957046508789e-01,-3.020488023757934570e-01,-2.352435290813446045e-01,-8.377599716186523438e-01,4.678223431110382080e-01,7.089679837226867676e-01,-1.562486648559570312e+00,-1.021718829870223999e-01,7.016323804855346680e-01,-8.821557164192199707e-01,2.188206315040588379e-01,7.626432180404663086e-01,-1.173765897750854492e+00
2.096503786742687225e-02,6.915776524692773819e-03,3.319604694843292236e-01,-7.649392634630203247e-02,5.040620639920234680e-02,1.892848908901214600e-01,9.776395559310913086e-01,-3.139115273952484131e-01,-2.343398183584213257e-01,-8.377599716186523438e-01,4.681460559368133545e-01,7.362279295921325684e-01,-1.626367807388305664e+00,-1.063543856143951416e-01,6.786089539527893066e-01,-8.394789099693298340e-01,2.176883071660995483e-01,7.194201350212097168e-01,-1.164739251136779785e+00
2.279669791460037231e-02,8.190681226551532745e-03,3.320029079914093018e-01,-7.380918413400650024e-02,5.004451051354408264e-02,1.905533671379089355e-01,9.776180982589721680e-01,-3.210390508174896240e-01,-2.263612151145935059e-01,-8.377599716186523438e-01,4.710079431533813477e-01,7.669919729232788086e-01,-1.691487193107604980e+00,-1.119818687438964844e-01,6.849949955940246582e-01,-8.377643227577209473e-01,2.185784131288528442e-01,6.930972933769226074e-01,-1.169815897941589355e+00
2.477304637432098389e-02,9.479491971433162689e-03,3.318254947662353516e-01,-6.971102952957153320e-02,4.874587431550025940e-02,1.914621740579605103e-01,9.778069853782653809e-01,-3.281498849391937256e-01,-2.143658250570297241e-01,-8.377599716186523438e-01,4.697578251361846924e-01,7.928854823112487793e-01,-1.752330899238586426e+00,-1.201593503355979919e-01,6.955577731132507324e-01,-8.377600312232971191e-01,2.172740250825881958e-01,6.738322377204895020e-01,-1.178450822830200195e+00
2.672914043068885803e-02,1.076609082520008087e-02,3.315147757530212402e-01,-6.447318941354751587e-02,4.713705554604530334e-02,1.920919120311737061e-01,9.781216979026794434e-01,-3.368733823299407959e-01,-2.008064389228820801e-01,-8.377599716186523438e-01,4.650761187076568604e-01,8.110314607620239258e-01,-1.807053089141845703e+00,-1.305738538503646851e-01,7.075819969177246094e-01,-8.377599716186523438e-01,2.142407000064849854e-01,6.576482653617858887e-01,-1.186276793479919434e+00
2.860405296087265015e-02,1.202910952270030975e-02,3.310815393924713135e-01,-5.843164026737213135e-02,4.572042822837829590e-02,1.925995051860809326e-01,9.784685969352722168e-01,-3.472992479801177979e-01,-1.876953989267349243e-01,-8.377599716186523438e-01,4.552950263023376465e-01,8.187458515167236328e-01,-1.850915908813476562e+00,-1.426386088132858276e-01,7.192564606666564941e-01,-8.377599716186523438e-01,2.089997828006744385e-01,6.427395939826965332e-01,-1.192356705665588379e+00
3.046190179884433746e-02,1.334554236382246017e-02,3.305683434009552002e-01,-5.176004394888877869e-02,4.445779696106910706e-02,1.923736631870269775e-01,9.789467453956604004e-01,-3.578239977359771729e-01,-1.750213056802749634e-01,-8.377599716186523438e-01,4.399940073490142822e-01,8.176366090774536133e-01,-1.883721828460693359e+00,-1.560761183500289917e-01,7.311767339706420898e-01,-8.377599716186523438e-01,2.028019279241561890e-01,6.292248964309692383e-01,-1.197629809379577637e+00
