-9.788963943719863892e-03,-2.928234869614243507e-03,3.240146040916442871e-01,-9.780942648649215698e-02,8.392598479986190796e-02,-9.871052503585815430e-01,-9.493645280599594116e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.911092579364776611e-01,6.613317877054214478e-02,2.800232963636517525e-03,-3.007754087448120117e-01,-2.291279286146163940e-01,1.358546614646911621e-01,1.719440892338752747e-02,-4.681123420596122742e-02,1.817925721406936646e-01,2.824034988880157471e-01,4.009046033024787903e-02,3.049640655517578125e-01,3.626308739185333252e-01,4.785801768302917480e-01,5.000000000000000000e-01,2.784580588340759277e-01,-1.004022955894470215e-01,-4.394983351230621338e-01,-1.635472849011421204e-02,1.907080784440040588e-02,-1.711809337139129639e-01,-7.059042155742645264e-02,5.917848087847232819e-03
-1.104490458965301514e-02,-3.442316781729459763e-03,3.240200579166412354e-01,-9.666918963193893433e-02,8.242059499025344849e-02,-9.881179928779602051e-01,-8.651412278413772583e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.823961317539215088e-01,6.532473117113113403e-02,3.977715969085693359e-03,-3.469136655330657959e-01,-2.404502481222152710e-01,1.367795616388320923e-01,1.667294278740882874e-02,-5.301508121192455292e-03,1.724794358015060425e-01,2.827770709991455078e-01,4.940648376941680908e-02,3.123179972171783447e-01,3.835239410400390625e-01,4.490621089935302734e-01,5.000000000000000000e-01,2.850050628185272217e-01,-1.147590577602386475e-01,-4.510298073291778564e-01,-1.644610054790973663e-02,1.998729445040225983e-02,-1.860874593257904053e-01,-5.786705762147903442e-02,1.048456318676471710e-02
-1.230320800095796585e-02,-3.826019121333956718e-03,3.241061270236968994e-01,-9.610004723072052002e-02,7.992266863584518433e-02,-9.891614913940429688e-01,-7.704976946115493774e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.718810379505157471e-01,6.335081905126571655e-02,4.572632256895303726e-03,-3.708617389202117920e-01,-2.534948587417602539e-01,1.403936594724655151e-01,1.629011519253253937e-02,2.263560332357883453e-02,1.598154604434967041e-01,2.835813462734222412e-01,5.621627345681190491e-02,2.905293703079223633e-01,4.105991125106811523e-01,3.678576350212097168e-01,5.000000000000000000e-01,2.969875931739807129e-01,-1.282117664813995361e-01,-4.720840454101562500e-01,-1.627643220126628876e-02,2.023861184716224670e-02,-1.983014345169067383e-01,-4.415241628885269165e-02,1.494174264371395111e-02
-1.337516773492097855e-02,-3.987381234765052795e-03,3.242518007755279541e-01,-9.686366468667984009e-02,7.641781121492385864e-02,-9.901256561279296875e-01,-6.655044108629226685e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.610971868038177490e-01,6.179567798972129822e-02,5.097753368318080902e-03,-3.816993534564971924e-01,-2.675651013851165771e-01,1.472671031951904297e-01,1.635845564305782318e-02,4.405838251113891602e-02,1.435242742300033569e-01,2.841759026050567627e-01,5.779125913977622986e-02,2.441532611846923828e-01,4.143134057521820068e-01,2.421244829893112183e-01,5.000000000000000000e-01,3.085925281047821045e-01,-1.382723152637481689e-01,-4.913848042488098145e-01,-1.587883755564689636e-02,1.988804899156093597e-02,-2.048806399106979370e-01,-4.082581773400306702e-02,2.592569962143898010e-02
-1.434264238923788071e-02,-3.792360192164778709e-03,3.243061006069183350e-01,-1.005157679319381714e-01,7.225874066352844238e-02,-9.907466769218444824e-01,-5.564390122890472412e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.541925251483917236e-01,6.581307202577590942e-02,5.978725384920835495e-03,-3.820975124835968018e-01,-2.857998013496398926e-01,1.629364490509033203e-01,1.713108271360397339e-02,6.350217759609222412e-02,1.273086518049240112e-01,2.840957641601562500e-01,5.526506900787353516e-02,2.018869966268539429e-01,3.583372235298156738e-01,1.011517718434333801e-01,5.000000000000000000e-01,3.185742795467376709e-01,-1.447624862194061279e-01,-4.972835481166839600e-01,-1.543157268315553665e-02,1.604658924043178558e-02,-2.085265517234802246e-01,-5.112866684794425964e-02,5.692927539348602295e-02
-1.522063557058572769e-02,-3.234954318031668663e-03,3.243424892425537109e-01,-1.075499281287193298e-01,6.858509033918380737e-02,-9.908319115638732910e-01,-4.451084136962890625e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.553527593612670898e-01,7.613889873027801514e-02,7.260781247168779373e-03,-3.705111145973205566e-01,-3.062279522418975830e-01,1.898212432861328125e-01,1.838357746601104736e-02,8.499574661254882812e-02,1.071092486381530762e-01,2.829937338829040527e-01,5.271780863404273987e-02,1.882322430610656738e-01,2.476721554994583130e-01,-4.289120063185691833e-02,5.000000000000000000e-01,3.243736922740936279e-01,-1.412231773138046265e-01,-4.835417866706848145e-01,-1.537949964404106140e-02,2.676098234951496124e-02,-2.012700289487838745e-01,-1.481202244758605957e-01,1.432565599679946899e-01
-1.728286035358905792e-02,-2.347802743315696716e-03,3.239193856716156006e-01,-1.155428588390350342e-01,6.511462479829788208e-02,-9.906443953514099121e-01,-3.214994445443153381e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.641822636127471924e-01,8.645487576723098755e-02,9.774024598300457001e-03,-3.103896677494049072e-01,-3.284134268760681152e-01,2.231699526309967041e-01,2.126394957304000854e-02,1.320675015449523926e-01,8.426080644130706787e-02,2.788403034210205078e-01,4.392960295081138611e-02,2.003682106733322144e-01,1.396243721246719360e-01,-1.754441708326339722e-01,5.000000000000000000e-01,3.404912054538726807e-01,-1.295785307884216309e-01,-4.701883494853973389e-01,-1.455401442945003510e-02,5.284566059708595276e-02,-1.832982450723648071e-01,-3.520815372467041016e-01,4.766609966754913330e-01
-2.039989456534385681e-02,-1.856639282777905464e-03,3.233236670494079590e-01,-1.198211759328842163e-01,6.270493566989898682e-02,-9.906204342842102051e-01,-1.954833604395389557e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.775680661201477051e-01,9.555671364068984985e-02,1.286706328392028809e-02,-2.894685864448547363e-01,-3.404486477375030518e-01,2.540169954299926758e-01,2.331093512475490570e-02,1.465950459241867065e-01,6.886404752731323242e-02,2.745091617107391357e-01,1.206592191010713577e-02,2.270241081714630127e-01,6.285699456930160522e-02,-2.685685157775878906e-01,5.000000000000000000e-01,3.726297020912170410e-01,-1.182852387428283691e-01,-4.782227575778961182e-01,-1.435186807066202164e-02,9.047365933656692505e-02,-1.664979904890060425e-01,-4.955585300922393799e-01,7.620958089828491211e-01
-2.419298328459262848e-02,-1.803488004952669144e-03,3.230165243148803711e-01,-1.215052679181098938e-01,6.103537976741790771e-02,-9.906665086746215820e-01,-9.539595805108547211e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.903330266475677490e-01,1.022890284657478333e-01,1.538024749606847763e-02,-2.762072384357452393e-01,-3.443280160427093506e-01,2.779572606086730957e-01,2.336136251688003540e-02,1.472476571798324585e-01,5.442785099148750305e-02,2.745686471462249756e-01,-2.164040878415107727e-02,2.571856379508972168e-01,9.984575212001800537e-03,-3.362979590892791748e-01,5.000000000000000000e-01,4.023935496807098389e-01,-9.900298714637756348e-02,-4.885672330856323242e-01,-1.483462192118167877e-02,2.110845297574996948e-01,-1.455559730529785156e-01,-7.785904407501220703e-01,9.635794162750244141e-01
-2.869678847491741180e-02,-1.889234757982194424e-03,3.229156136512756348e-01,-1.202604845166206360e-01,5.987043306231498718e-02,-9.909178614616394043e-01,-5.898468196392059326e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.931128680706024170e-01,1.067190095782279968e-01,1.785595715045928955e-02,-2.686818838119506836e-01,-3.379367589950561523e-01,2.900157570838928223e-01,2.236202731728553772e-02,1.414898782968521118e-01,4.943992197513580322e-02,2.730366885662078857e-01,-5.523646250367164612e-02,2.911866903305053711e-01,3.150076605379581451e-03,-3.817804455757141113e-01,5.000000000000000000e-01,4.278165102005004883e-01,-8.014308661222457886e-02,-4.900138676166534424e-01,-1.543912105262279510e-02,3.072639107704162598e-01,-5.964054539799690247e-02,-1.081610679626464844e+00,1.159777283668518066e+00
